,staker,balance
0,0x62352f1a701cff2aeb6b69d6a8cb196887020f22,0.14108889921565843
1,0xb31a478d817871c82da0bf96a395df9523bde09a,0.0
2,0xc647f8f745a59b74a26d76da7dccc8badf649c32,4.946119889823388
3,0xd58dcd4594087c2758717a59f44a5ac09db65105,0.21423919044126086
4,0x3b7b41f27b89f07269a0599f15fba723f21f2442,0.0
5,0xa911ccf5f6c7bd5fb25188d41a536890c3c8fae5,0.0
6,0xb81a01f609c78c35b95ed5b1c3fd843fc73bdb6f,0.5686564519814342
7,0x201c59f0e15ccc48cab012525f16be7a91a91b53,0.0
8,0xe0093f7a481f1545d4a656726735e544eb98ed93,0.0
9,0xd3474bd2f558b12e83810ec7d8af14f2d1d08137,0.0
10,0x6e1ad8e91b9b7b677c2a81fa31b6faaa657424fb,108.55836791647769
11,0x66b1e927c3d35cbf4de05a29dcd76ae4d8947081,0.0
12,0xb6b5594c5c05c29d8877895216b7788c24436267,0.0
13,0xe0dc24a3d7478eb840dc63baa20fcb06cdb123be,0.0
14,0x24c0019d5e632501afc98b47b8d0fcdaedc61734,0.0
15,0x12cdfa0fc53615e2be8d9b495b065c108bf77907,0.1802001519660881
16,0x6c64f87af61b0d100ccfacb0c719e5d5d2833cd4,0.0
17,0x519e21a4bf3eb67d811b04b4d8d44deaba5f5e0a,2.267751471901174
18,0x8fd4e91676d540b2c22e793617fc789f3fce00ba,0.0
19,0xd531b6a5ab7db8b5091876d8c26836e53e0d3cd5,0.0
20,0x0eaee7557fb9f7bcec342baffd628a6bd2cd3bc7,0.0
21,0x1d8b19d2049890641d80b9128d511feb0ae55247,0.0
22,0xca3b40e3c90753eea6f9b93001480e107be38dd7,0.0
23,0x98bed949d4e5607a753185cfb7153b53e0c3c80a,0.0
24,0x8b7a34b7417ad2c7c3ba99a1c69df2ec65299493,0.0
25,0x8a7494079050d49a31141ea726cf194d7817efc0,0.0
26,0x139776871ee95f55d20b10d9ba5a0385451066cd,0.000492267313648036
27,0xc766d73be01caa06834032bf5c8f8f0f41a7bf36,0.6742973655600903
28,0x5345ff51850ca1c4fbb499599624b6e6096fb92f,0.0
29,0x1ed471691ce34fea59db241b2443d634b9927b8b,0.0
30,0x933b7dfefae9e2e8385054d1c9b1143d9aeeb069,0.0
31,0xf5fcd3a63abc766ac5ada296b4a4e860dbf9ebb0,0.0
32,0x5a6eade27773eab2e4038ec7cf388781eca02f63,0.000127917298285387
33,0x09c46a907ba6167c50423ca130ad123dc6ec9862,0.0
34,0xc148368d792937c649bcfe64ccf101dd6d7d77b4,3.7456625359432647
35,0x51e7b8564f50ec4ad91877e39274bda7e6eb880a,0.0
